|&|,|and|
|2|,|two|
|2day|,|today|
|b|,|be|
|b4|,|before|
|bc|,|busy|
|bf|,|boyfriend|
|bk|,|back|
|bro|,|brother|
|bt|,|but|
|c|,|see|
|d8|,|date|
|dnr|,|dinner|
|ez|,|easy|
|f8|,|fate|
|fn|,|fine|
|gf|,|girlfriend|
|gr8|,|great|
|hols|,|holidays|
|hv|,|have|
|l8|,|late|
|l8r|,|later|
|m8|,|mate|
|ne1|,|anyone|
|ny1|,|anyone|
|ny|,|any|
|pls|,|please|
|qt|,|cutie|
|r|,|are|
|sis|,|sister|
|skool|,|school|
|smmr|,|summer|
|u|,|you|
|wr|,|were|
|wer|,|were|
|wher|,|where|
|whr|,|where|
|asap|,|as soon as possible|
|b4n|,|bye for now|
|bau|,|business as usual|
|brb|,|i'll be right back|
|btw|,|by the way|
|cul|,|see you later|
|cwot|,|complete waste of time|
|ftf|,|face to face|
|fyi|,|for your information|
|gmta|,|great minds think alike|
|hand|,|have a nice day|
|hru|,|how are you|
|icbw|,|it could be worse|
|idts|,|I don't think so|
|imho|,|in my humble opinion|
|iykwim|,|if you know what I mean|
|jk|,|just kidding|
|kotc|,|kiss on the cheek|
|lol|,|laughing out loud|
|lskol|,|long slow kiss on the lips|
|ltns|,|long time no see|
|luv|,|love|
|u2|,|you too|
|mon|,|the middle of nowhere|
|mte|,|my thoughts exactly|
|mu|,|i miss you|
|musm|,|i miss you so much|
|np|,|no problem|
|oic|,|oh, I see|
|pc&qt|,|peace and quiet|
|pcm|,|please call me|
|rofl|,|rolling on the floor laughing|
|ruok|,|are you ok?|
|thnq|,|thank you|
|u4e|,|you forever|
|urok|,|you are okay|
|xlnt|,|excellent|
|:-)|,|smiling|
|:-*|,|kiss|
|:-))|,|very happy|
|:-0|,|shocked|
|:")|,|blushing|
|(_x_)|,|kiss my arse/butt
<:3 )~ mouse
:@) pig
:’-) tears of laughter
:-P stick tongue out
:-(*) you make me sick
x-( you are mad
:-" whistling
;-) wink
:-@ screaming
O:-) saintly
